FAOSTAT 2013,,,,,
Elements Ê,,Areas Ê,,Items Ê,2009
Food supply quantity (tonnes) (tonnes),,,,,
Food supply quantity (tonnes) (tonnes),,Food supply quantity (tonnes) (tonnes),,,
Food supply quantity (tonnes) (tonnes),,,,,
Albania,3,Apples and products,2617,"57Ê459.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Albania,3,"Oranges, Mandarines",2611,"40Ê880.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Algeria,4,Apples and products,2617,"370Ê008.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Algeria,4,"Oranges, Mandarines",2611,"762Ê365.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Angola,7,Apples and products,2617,"4Ê481.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Angola,7,"Oranges, Mandarines",2611,"978.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Antigua and Barbuda,8,Apples and products,2617,"722.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Antigua and Barbuda,8,"Oranges, Mandarines",2611,"3Ê521.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Argentina,9,Apples and products,2617,"537Ê569.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Argentina,9,"Oranges, Mandarines",2611,"890Ê101.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Armenia,1,Apples and products,2617,"45Ê772.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Armenia,1,"Oranges, Mandarines",2611,"11Ê301.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Australia,10,Apples and products,2617,"614Ê376.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Australia,10,"Oranges, Mandarines",2611,"376Ê653.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Austria,11,Apples and products,2617,"356Ê264.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Austria,11,"Oranges, Mandarines",2611,"86Ê030.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Azerbaijan,52,Apples and products,2617,"125Ê367.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Azerbaijan,52,"Oranges, Mandarines",2611,"17Ê621.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bahamas,12,Apples and products,2617,"14Ê488.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bahamas,12,"Oranges, Mandarines",2611,"21Ê299.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bangladesh,16,Apples and products,2617,"139Ê733.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Bangladesh,16,"Oranges, Mandarines",2611,"62Ê126.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Barbados,14,Apples and products,2617,"4Ê361.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Barbados,14,"Oranges, Mandarines",2611,"12Ê963.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Belarus,57,Apples and products,2617,"222Ê495.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Belarus,57,"Oranges, Mandarines",2611,"64Ê770.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
Belgium,255,Apples and products,2617,"310Ê360.00, tonnes ()",
Food supply quantity (tonnes) (tonnes),,,,,
